City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Kudahuvadhoo,MV,2022-05-29 17:05:41,2.6708,72.8944,83.64,72,73,11.9,broken clouds
108,Provideniya,RU,2022-05-29 17:05:41,64.3833,-173.3,40.26,76,5,4.0,clear sky
109,Scottsbluff,US,2022-05-29 17:05:41,41.8666,-103.6672,70.92,49,0,3.0,clear sky
110,Taoudenni,ML,2022-05-29 17:05:42,22.6783,-3.9836,109.49,10,7,17.49,clear sky
111,Bayeux,BR,2022-05-29 17:05:42,-7.125,-34.9322,79.43,89,75,12.66,broken clouds
112,Vyshestebliyevskaya,RU,2022-05-29 17:05:42,45.1961,37.0181,66.61,65,0,4.54,clear sky
113,Kaeo,NZ,2022-05-29 17:05:42,-35.1,173.7833,65.32,97,100,13.69,overcast clouds
114,Talnakh,RU,2022-05-29 17:05:43,69.4865,88.3972,36.21,72,7,2.39,clear sky
115,Clyde River,CA,2022-05-29 17:05:43,70.4692,-68.5914,28.63,69,0,16.11,clear sky
116,Aryanah,TN,2022-05-29 17:05:18,36.8601,10.1934,84.38,28,0,11.32,clear sky
117,Acari,PE,2022-05-29 17:05:43,-15.4311,-74.6158,75.6,48,25,8.28,scattered clouds
118,Lar,IN,2022-05-29 17:05:44,26.2039,83.9717,96.21,32,26,11.92,scattered clouds
119,Tuatapere,NZ,2022-05-29 17:05:44,-46.1333,167.6833,44.94,82,100,4.21,overcast clouds
120,Inhambane,MZ,2022-05-29 17:05:44,-23.865,35.3833,71.6,75,5,11.95,clear sky
121,Tagusao,PH,2022-05-29 17:05:45,9.1924,117.8141,80.19,77,97,3.78,light rain
122,Oussouye,SN,2022-05-29 17:05:45,12.485,-16.5469,87.12,54,39,16.58,scattered clouds
123,Saskylakh,RU,2022-05-29 17:05:45,71.9167,114.0833,12.54,99,87,4.21,overcast clouds
124,San Andres,CO,2022-05-29 17:05:46,12.5847,-81.7006,87.82,74,20,12.66,few clouds
125,San Cristobal,VE,2022-05-29 17:05:46,7.7669,-72.225,84.38,37,25,8.16,scattered clouds
126,Tautira,PF,2022-05-29 17:05:46,-17.7333,-149.15,79.32,68,28,9.13,scattered clouds
127,Adrar,MR,2022-05-29 17:05:46,20.5022,-10.0711,100.96,17,94,17.56,overcast clouds
128,Ponta Delgada,PT,2022-05-29 17:05:47,37.7333,-25.6667,61.52,59,20,19.57,few clouds
129,Vossevangen,NO,2022-05-29 17:05:47,60.623,6.4229,50.54,79,98,2.42,overcast clouds
130,Tiksi,RU,2022-05-29 17:05:47,71.6872,128.8694,28.62,87,100,7.83,overcast clouds
131,Fiche,ET,2022-05-29 17:05:48,9.8,38.7333,60.75,32,82,4.81,broken clouds
132,Flinders,AU,2022-05-29 17:05:48,-34.5833,150.8552,52.18,66,0,4.0,clear sky
133,Sao Filipe,CV,2022-05-29 17:05:48,14.8961,-24.4956,75.31,81,16,12.15,few clouds
134,Melbourne,US,2022-05-29 17:05:08,28.0836,-80.6081,92.07,69,0,11.5,clear sky
135,Larsnes,NO,2022-05-29 17:05:49,62.2028,5.5773,48.61,91,100,1.52,light rain
136,Rassvet,RU,2022-05-29 17:05:49,46.8333,40.75,73.08,68,26,5.91,scattered clouds
137,Bairiki,KI,2022-05-29 17:05:49,1.3292,172.9752,80.71,75,100,14.36,overcast clouds
138,Avarua,CK,2022-05-29 17:05:49,-21.2078,-159.775,77.05,78,20,6.91,few clouds
139,Capoterra,IT,2022-05-29 17:05:50,39.1763,8.9718,83.55,28,0,12.66,clear sky
140,Acheng,CN,2022-05-29 17:05:50,45.5454,126.977,54.88,90,100,14.79,overcast clouds
141,Pyapon,MM,2022-05-29 17:05:50,16.2833,95.6833,80.06,87,100,4.59,overcast clouds
142,Marzuq,YE,2022-05-29 17:05:51,14.4,46.4667,81.32,38,90,6.58,overcast clouds
143,Miajadas,ES,2022-05-29 17:05:51,39.1513,-5.9084,86.41,16,65,11.41,broken clouds
144,Srednekolymsk,RU,2022-05-29 17:05:51,67.45,153.6833,45.68,58,98,8.39,overcast clouds
145,Mayo,US,2022-05-29 17:05:51,38.8876,-76.5119,83.75,61,29,3.0,scattered clouds
146,Isangel,VU,2022-05-29 17:05:52,-19.55,169.2667,75.9,86,1,3.04,clear sky
147,Port Elizabeth,ZA,2022-05-29 17:05:52,-33.918,25.5701,56.1,89,54,7.0,moderate rain
148,Dingle,PH,2022-05-29 17:05:52,10.9995,122.6711,77.72,86,73,2.73,very heavy rain
149,Quatre Cocos,MU,2022-05-29 17:05:53,-20.2078,57.7625,71.1,57,14,20.51,few clouds
150,Adre,TD,2022-05-29 17:05:53,13.4667,22.2,85.59,37,75,15.08,broken clouds
151,Kangaba,ML,2022-05-29 17:05:53,11.9333,-8.4167,101.37,22,93,3.53,overcast clouds
152,Islahiye,TR,2022-05-29 17:05:54,37.025,36.6306,77.52,40,13,4.59,few clouds
153,Hamilton,US,2022-05-29 17:05:30,39.1834,-84.5333,80.94,63,0,8.05,clear sky
154,Karlskrona,SE,2022-05-29 17:05:54,56.1616,15.5866,63.05,73,33,8.23,scattered clouds
155,Esperance,AU,2022-05-29 17:05:54,-33.8667,121.9,55.53,68,100,22.12,overcast clouds
156,Beira,MZ,2022-05-29 17:05:55,-19.8436,34.8389,70.79,71,0,7.29,clear sky
157,Bukama,CD,2022-05-29 17:05:55,-9.2,25.85,75.67,45,0,2.75,clear sky
158,Sao Joao Da Barra,BR,2022-05-29 17:04:16,-21.6403,-41.0511,84.29,71,0,14.74,clear sky
159,Sladkovo,RU,2022-05-29 17:05:55,55.5284,70.3385,56.95,84,61,7.92,broken clouds
160,Shieli,KZ,2022-05-29 17:05:55,44.1667,66.75,72.45,29,2,7.47,clear sky
161,Half Moon Bay,US,2022-05-29 17:05:56,37.4636,-122.4286,67.87,61,20,10.36,few clouds
162,Abha,SA,2022-05-29 17:05:56,18.2164,42.5053,73.65,38,0,5.75,clear sky
163,Lebu,CL,2022-05-29 17:05:56,-37.6167,-73.65,48.87,60,70,13.29,broken clouds
164,Salamiyah,SY,2022-05-29 17:05:57,35.0113,37.0532,85.82,17,4,10.36,clear sky
