City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
350,Dimbokro,CI,84.22,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
351,Luanda,AO,75.2,-8.8368,13.2343,EPIC SANA Luanda
355,Mandera,KE,84.92,3.9366,41.867,Red Sea Resort & Suites Mandera County
357,Kahului,US,76.84,20.8947,-156.47,Maui Seaside Hotel
360,Vapi,IN,83.34,20.3718,72.9049,Hotel Dan
362,Turbat,PK,88.72,26.0023,63.044,Mubashar Quarters
363,Cabo San Lucas,MX,83.52,22.8909,-109.9124,Vista Roof Restaurant
364,Aden,YE,87.53,12.7794,45.0367,Sama Emirate Hotel
365,Lexington,US,79.29,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
367,Huicheng,CN,77.58,23.0385,116.2899,Huilai Hotel
369,Tonj,SS,75.47,7.2737,28.6822,Lakan Hotel
370,Sa Kaeo,TH,76.03,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
380,Touros,BR,83.48,-5.1989,-35.4608,INN NEW HORIZON
381,Faanui,PF,79.92,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
386,Santa Rosalia,MX,83.73,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
388,Qeshm,IR,87.67,26.9581,56.2719,Qeshm Kavan Hotel
389,Rio De Janeiro,BR,88.0,-22.9028,-43.2075,Hotel cruz de ouro
392,Akyab,MM,82.4,20.15,92.9,Hotel Memory
396,Gat,IL,83.39,31.61,34.7642,OlusHome
399,Lagoa Da Prata,BR,80.15,-20.0225,-45.5436,Pousada Parador da Figueira
402,Chihuahua,MX,86.54,28.5,-106.0,
413,Erzin,TR,76.73,36.9559,36.2,Artemis Otel
414,San Ignacio,BZ,81.43,17.1561,-89.0714,Rainforest Haven Inn
420,Auki,SB,76.64,-8.7676,160.7034,Auki Motel
421,Padang,ID,76.82,-0.9492,100.3543,Mercure Padang
426,Bintulu,MY,78.71,3.1667,113.0333,900 Boutique INN
428,Los Arabos,CU,89.35,22.7281,-80.7214,Motel Los Pinos
431,Coronon,PH,75.13,6.8792,125.4489,El Coron Resort
436,Cayenne,GF,80.1,4.9333,-52.3333,Hôtel Le Dronmi
437,Prado,BR,77.02,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
445,Kuryk,KZ,79.2,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
447,Maragogi,BR,80.06,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
452,Hirara,JP,80.65,24.8,125.2833,Hotel Atoll Emerald Miyakojima
453,Piacabucu,BR,80.55,-10.4056,-36.4344,Piaçabuçu News
454,Velasco Ibarra,EC,78.04,-1.05,-79.6167,Wilson Mendoza
458,Pahrump,US,75.94,36.2083,-115.9839,Best Western Pahrump Oasis
461,Jasper,US,84.25,37.2001,-94.3502,Guest House Motel
467,Escada,BR,75.94,-8.3592,-35.2236,Constantino recepções
471,Umm Lajj,SA,83.73,25.0213,37.2685,Moon light Furnished Units
476,Manokwari,ID,76.51,-0.8667,134.0833,Swiss Belhotel Manokwari
478,Marovoay,MG,80.26,-16.1,46.6333,Hôtel les Oliviers Marovoay
489,Sao Cristovao,BR,78.71,-11.0147,-37.2064,Hotel deimar
495,Sinnamary,GF,80.58,5.3833,-52.95,ALETHEIA Appartement Sinnamary
498,Kathu,TH,86.76,7.9178,98.3332,Novotel Phuket Resort
499,Kirakira,SB,78.93,-10.4544,161.9205,SanBiz Lodge
500,Lodja,CD,76.86,-3.4833,23.4333,
502,Saquena,PE,87.75,-4.6667,-73.5167,
503,Neiafu,TO,79.48,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
506,Salem,IN,81.66,11.65,78.1667,YMCA PROGRAM CENTRE
511,Virginia Beach,US,84.06,36.8529,-75.978,Hilton Virginia Beach Oceanfront
512,Hurricane,US,77.34,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
515,Santa Catalina,PH,80.2,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
518,Pafos,CY,80.38,34.7667,32.4167,Elysium Hotel
519,Sotouboua,TG,88.75,8.5667,0.9833,Auberge Médina
520,Pontianak,ID,76.98,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
523,Dawlatabad,AF,75.25,36.4141,64.9053,WASIM ASGAR KHAN
524,Quixada,BR,89.74,-4.9714,-39.0153,Hotel Vale das Pedras
525,Colon,PA,83.35,9.3592,-79.9014,Sand Diamond Hotel
526,Iguape,BR,85.23,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
530,Iberia,US,86.05,29.9502,-91.7507,back to back rv park
535,Castro-Urdiales,ES,76.24,43.3829,-3.2204,Hotel Las Rocas Playa
536,The Valley,AI,86.14,18.217,-63.0578,CeBlue Villas & Beach Resort
