City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kemi,FI,2022-05-29 15:54:06,65.8596,24.8228,65.97,42,0,11.5
156,Leningradskiy,RU,2022-05-29 15:54:06,69.3833,178.4167,29.88,94,77,1.41
157,Samana,DO,2022-05-29 15:54:06,19.2056,-69.3369,86.22,74,40,3.44
158,Dingle,PH,2022-05-29 15:54:07,10.9995,122.6711,77.79,86,73,2.82
159,Vao,NC,2022-05-29 15:54:07,-22.6667,167.4833,73.72,78,87,6.73
160,Chuy,UY,2022-05-29 15:54:07,-33.6971,-53.4616,58.77,60,5,12.41
161,Fort Nelson,CA,2022-05-29 15:54:07,58.8053,-122.7002,47.79,61,75,2.3
162,Gizo,SB,2022-05-29 15:54:08,-8.103,156.8419,81.73,76,36,9.17
163,Yulara,AU,2022-05-29 15:54:08,-25.2406,130.9889,57.58,39,99,19.19
164,Castro,BR,2022-05-29 15:54:08,-24.7911,-50.0119,72.64,52,2,13.98
165,Mormugao,IN,2022-05-29 15:54:09,15.4,73.8,85.26,70,40,6.91
166,Sola,VU,2022-05-29 15:54:09,-13.8833,167.55,74.07,94,20,0.0
167,Porteirinha,BR,2022-05-29 15:54:09,-15.7433,-43.0283,88.23,27,2,4.34
168,Te Anau,NZ,2022-05-29 15:54:10,-45.4167,167.7167,44.67,89,100,1.66
169,Zhuhai,CN,2022-05-29 15:54:10,22.2769,113.5678,84.85,89,40,9.22
170,Melfort,CA,2022-05-29 15:54:10,52.8667,-104.6177,50.13,87,100,6.91
171,Selma,US,2022-05-29 15:51:18,36.5708,-119.6121,67.01,73,1,14.9
172,Monroe,US,2022-05-29 15:51:37,43.1501,-77.6831,74.98,59,40,5.75
173,Fortuna,US,2022-05-29 15:54:11,40.5982,-124.1573,55.92,82,100,13.8
174,Rocha,UY,2022-05-29 15:54:11,-34.4833,-54.3333,54.75,57,79,15.88
175,Shambu,ET,2022-05-29 15:54:11,9.5667,37.1,58.46,57,85,0.83
176,Sao Filipe,CV,2022-05-29 15:54:12,14.8961,-24.4956,75.42,80,19,10.6
